Code,Airline
7L,Silk Way West Airlines
7P,Apa International Air S.A.
7S,Ryan Air f/k/a Arctic Transportation
8C,Air Transport International
8E,Bering Air Inc.
8I,Inselair Aruba NV
8L,Servicio Aereo Leo Lopez
8R,Edelweiss Air Ag
8V,Wright Air Service
8W,Fly Airways NV
9E,Endeavor Air Inc.
9K,Cape Air
9M,Central Mountain Air
9N,ANA & JP Express Co. Ltd.
9T,"TravelspanGT, Inc. S.A."
9V,"Avior Airlines, C.A."
9W,Jet Airways (India) Limited
9X,"Southern Airways Express, dba Mokulele Airlines"
A4,Southern Wind Airlines
AA,American Airlines Inc.
AAB,Abelag Aviation AG
AAT,Air Sunshine Inc.
ABX,ABX Air Inc
AC,Air Canada
AD,Azul Linhas Aereas Brazileiras S A
ADB,Antonov Company
AF,Compagnie Natl Air France
AG,Arubaanse Luchtvaart Maatschappij NV dba Aruba Airlines
AI,National Aviation Company of India Limited d/b/a Air India
ALQ,Alliance Executive Jets Ltd.
AM,Aeromexico
AMQ,Ameristar Air Cargo
AN,"ADVANCED AIR, LLC"
AOQ,Avon Jet AG
AQB,Scanwings Oy
AQQ,Air Charter (Safa)
AR,Aerolineas Argentinas
ARQ,Flightworx Aviation Ltd
AS,Alaska Airlines Inc.
AT,Royal Air Maroc
ATQ,Bairline Fluggesellschaft
AV,Aerovias Nacl De Colombia
AVQ,Aero Laguna S.A. De C.V.
AX,Trans States Airlines
AY,Finnair Oy
AYQ,Aerodan S.A. De C.V.
AZ,Italia Transporto Aereo S.P.A DBA ITA S.P.A
B0,Dreamjet SAS Dba La Compagnie
B6,JetBlue Airways
BA,British Airways Plc
BAQ,Aero Rentas De Coahuila S.A. De C.V.
BAS,Baranautica Air Service LLC
BC,Skymark Airlines Inc.
BCQ,Bradley Air Services Ltd.
BD,British Midland Airways Ltd.
BDQ,Aerotaxis De Aguascalientes S.A. De C.V.
BES,Aeroservices Executive
BF,French bee
BG,Biman Bangladesh Airlines
BIQ,Servicios Aeronauticos Z S.A. De C.V.
BJQ,Taxirey S.A. De C.V.
BR,Eva Airways Corporation
BW,Caribbean Airlines Limited
BX,Air Busan
BY,Britannia Airways Ltd.
C5,CommuteAir LLC dba CommuteAir
C6,Canjet Airlines
C8,Cargolux Italia SpA
CA,Air China
CAQ,Challenge Air Luftverkehrs GmbH
CAZ,CAT Aviation
CC,Air Atlanta Icelandic
CHQ,Nomad Aviation AG
CI,China Airlines Ltd.
CK,China Cargo Airline
CM,Compania Panamena (Copa)
CP,Alis Cargo Airlines S.P.A.
CRV,Acropolis Aviation Ltd.
CSQ,Celtic Tech Jet Ltd.
CT,Air Atlanta Europe Limited
CV,Cargolux Airlines International S.A
CX,Cathay Pacific Airways Ltd.
CYQ,Corse Air International
CZ,China Southern Airlines
D7,Air Asia X Berhad dba Airasia X
D8,Norwegian Air International Ltd.
DB,Maleth Aero AOC Ltd.
DE,Condor Flugdienst
DHQ,DHL Aero Expresso
DI,Norwegian Air UK Limited
DL,Delta Air Lines Inc.
DY,Norwegian Air Shuttle ASA
E7,Estafeta Carga Aereas
E72,European Aviation Air Charter
E9,Evelop Airlines SL
EAQ,"Executive Airlines, SL"
EAU,Elitavia Malta Limited
EB,WAMOS AIR SA
EI,Aer Lingus Plc
EK,Emirates
ELL,Ellis Air Taxi Inc.
ELQ,Elangeni GmbH
EM,Empire Airlines Inc.
EQ,Tame Linea Aerea del Ecuador Tme EP
ET,Ethiopian Airlines
EV,ExpressJet Airlines LLC d/b/a aha!
EW,Eurowings GmbH
EY,Etihad Airways
F9,Frontier Airlines Inc.
FI,Icelandair
FJ,Air Pacific Ltd.
FK,Flightcraft Air Charter Ltd dba KF Aeroflyer
FP,TAG Aviation S.A.
FX,Federal Express Corporation
FXQ,"FOX AIRCRAFT, LLC"
FYQ,Flying Group Lux S.A.
G3,VRG Linhas Aereas S A
G4,Allegiant Air
G7,GoJet Airlines LLC d/b/a United Express
GCA,"Global Crossing Airlines, Inc."
GCH,Grand Canyon Helicopters
GCQ,Glock Aviation GmbH
GEQ,"Gestair, S.A."
GFQ,Gulf And Caribbean Cargo
GJQ,GainJet Ireland Ltd
GQQ,Executive Express dba Ravn Connect
GSQ,Global Supply System
GTQ,Galistair Trading Ltd
GU,"Aviateca, S.A."
GV,Grant Aviation
GW,SkyGreece Airlines S A
GWQ,"Golden Wings Charter, Ltd"
H8,Sky Airline Peru
HA,Hawaiian Airlines Inc.
HAQ,Hamilton Jetport Limited
HC,Air Senegal S.A
HLQ,Heavylift Cargo Airlines Lt
HU,Hainan Airlines Company Limited
HX,Hong Kong Airlines Limited
HY,Uzbekistan Airways
HYP,Hyperion Aviation Ltd. dba Hyperion
I4,Scott Air LLC dba Island Air Express
IB,Iberia Air Lines Of Spain
IFQ,FAI rent-a-jet AG
IG,Airitaly S.P.A.
IGA,"Global Jet Austria, GmbH"
IWQ,Island Wings Ltd. Dba Island Wings Charter
J2,Azerbaijan Airlines CJSC
J5,Kalinin Aviation LLC d/b/a Alaska Seaplanes
JAG,JetAlliance Flugbetriebs d/b/a JAF Airservice
JB,Helijet International Inc.
JCO,Concierge U Ltd. d/b/a Jet Concierge Club
JD,Beijing Capital Airlines
JI,Jade Cargo International
JJ,Transportes Aeros Meridiona
JL,Japan Air Lines Co. Ltd.
JQ,Jetstar Airways Pty Limited
JR,Aero California
JRQ,"KENAI AVIATION OPERATIONS, LLC"
JU,Air Serbia
JVQ,Prince Aviation
JX,STARLUX AIRLINES
K2,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service"
K3,Venture Travel LLC d/b/a Taquan Air Service
KA,Hong Kong Dragonair
KA1,"Kenmore Air Express, LLC (subsidiary of Kenmore Air Harbor)"
KAH,Kenmore Air Harbor
KAQ,Kalitta Air LLC
KAT,Katmai Air
KD,Western Global
KE,Korean Air Lines Co. Ltd.
KFQ,Skyfirst Limited
KH,Aloha Air Cargo
KL,Klm Royal Dutch Airlines
KLQ,Kalitta Charters II
KO,Alaska Central Express
KQ,Kenya Airways PLC
KTQ,Turks Air Ltd.
KU,Kuwait Airways Corp.
KV,Sky Regional Airlines Inc.
KX,Cayman Airways Limited
KZ,Nippon Cargo Airlines
L2,Lynden Air Cargo Airlines
L7,Lan Colombia
LA,Lan-Chile Airlines
LC,Varig Logistica S/A
LDM,Laudamotion GmbH
LDQ,Sparfell Luftfahrt GmbH
LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle
LH,Lufthansa German Airlines
LJ,Jin Air Co Ltd.
LMQ,Luxaviation EA
LO,Polskie Linie Lotnicze
LP,Lan Peru Airlines
LR,Lacsa
LS,Jet2.com
LX,Swiss International Airlines
LXQ,Luxaviation Germany GmbH
LY,El Al Israel Airlines Ltd.
M2,MHS Aviation GmbH
M3,ABSA-Aerolinhas Brasileiras
M6,Amerijet International
M7,Aerotransportes Mas De Crga
MA,Malev Hungarian Airlines
MF,"Xiamen Airlines Co., Ltd."
MH,Malaysian Airline System
MOQ,Morningstar Air Express
MP,Martinair Holland N.V.
MQ,Envoy Air
MS,Egyptair
MT,Thomas Cook Airlines Uk Ltd.
MU,China Eastern Airlines
MX,Breeze Aviation Group DBA  Breeze
N0,"Norse Atlantic Airways,AS"
N3,Vuela EL Salvador S.A. de C.V.
N6,Aero Continente
N8,National Air Cargo Group Inc d/ba National Airlines
NC,Northern Air Cargo Inc.
NEW,New England Airlines Inc.
NH,All Nippon Airways Co.
NIQ,AVCON JET MALTA LTD
NJE,"NetJets Transportes Aereos, S.A."
NJQ,Romcargo Airline S.R.L
NK,Spirit Air Lines
NLQ,Nolinor Aviation
NOS,Neos S.P.A
NQ,Air Japan Co
NWQ,N. W. Territorial Airways
NZ,Air New Zealand
O6,Oceanair Linhas Aereas S A
OF,Air Finland Ltd.
OG,Fly PLAY ehf
OH,PSA Airlines Inc.
OJ,Fly Jamaica Airways Limited
OK,Czech Airlines
OO,SkyWest Airlines Inc.
OR,TUI Airlines Nederland B.V.
OS,Austrian Airlines
OZ,Asiana Airlines Inc.
P3,Cargologicair Limited
PAF,Pathfinder Aviation
PBQ,Privatair
PD,"Porter Airlines, Inc."
PEQ,SkyLink Express Inc.
PF,Primera Air Scandinavia
PFQ,Asia Pacific
PH,Polynesian Airlines Ltd.
PK,Pakistan International Airlines
PO,Polar Air Cargo Airways
POQ,Polyot Airlines
PP,Jet Aviation Business Jets AG
PPQ,Propair
PR,Philippine Airlines Inc.
PS,Ukraine International Airlines
PT,Piedmont Airlines
PTQ,Pontair Ltd.
PY,Surinam Airways Limited
Q5,40-Mile Air
Q6,"Vuela Aviacion, S.A."
Q7,SkyBahamas Airlines Ltd.
QF,Qantas Airways Ltd.
QFX,Sparfell Malta Ltd
QK,Jazz Aviation LP
QO,Aeromexpress
QR,Qatar Airways (Q.C.S.C)
QS,"Travel Service, a.s. d/b/a SmartWings"
QT,Transportes Aereos Mercantiles Panamericanos S.A
QX,Horizon Air
QY,European Air Transport Leipzig GmbH
R0,Tantalus Air Ltd. d/b/a Harbour Air d/b/a Harbour Air Seaplanes
R2,Orenburg Airlines
R3,Air Company Yakutia
RC,P/F Atlantic Airways
RG,Varig S. A.
RJ,Alia-(The) Royal Jordanian
RO,Tarom Romanian Air Transpor
RU,AirBridgeCargo Airlines Limited
RV,Air Canada rouge LP
RVQ,"Reeve Air Alaska, LLC"
S3,"Santa Barbara Airlines, C.A"
S4,Sata Internacional
S6,Star Air A/S
SA,South African Airways
SE,XL Airways France
SEB,"Seaborne Virgin Islands, Inc."
SI,Sierra Pacific Airlines
SK,Scandinavian Airlines Sys.
SN,Brussels Airlines N.V.
SNK,Spernak Airways Inc.
SQ,Singapore Airlines Ltd.
SU,Aeroflot Russian Airlines
SV,Saudi Arabian Airlines Corp
SVW,"Global Jet Luxembourg, Sa"
SWQ,Swiss Private Jet S.A.
SY,Sun Country Airlines d/b/a MN Airlines
TA,Taca International Airlines
TB,TUI Airlines Belgium N.V. d/b/a Jetairfly
TBQ,Triair Bermuda Flt Operations
TEQ,TAG Aviation (Malta) Ltd.
TG,Thai Airways International Ltd.
TH,Transmile Air Service
TIQ,Tyrolean Jet Service
TK,Turk Hava Yollari A.O.
TN,Air Tahiti Nui
TP,Tap-Portuguese Airlines
TQ,"Tailwind Air, LLC"
TQQ,Taca Peru
TR,Scoot Tigerair Pte Ltd d/b/a Scoot
TRA,Aeromexico Travel
TS,Air Transat
TZQ,First Choice Airways
U7,USA Jet Airlines Inc.
UA,United Air Lines Inc.
UO,Hong Kong Express Airways Limited
UP,Bahamasair Holding Limited
UX,Air Europa
V4,Vensecar International
V6,CLAIRMONT HOLDINGS d/b/a VI AIRLINK
V8,Iliamna Air Taxi
VA,Virgin Blue International Airlines t/a V Australia
VB,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus"
VH,Fast Colombia SAS d/b/a Viva Colombia
VI,Vieques Air Link Inc.
VIQ,Volga-Dnepr Airlines
VJT,VistaJet Limited
VNA,Vietnam Airline
VR,Transportes Aereos De Cabo
VS,Virgin Atlantic Airways
VSA,VistaJet Luftfahrtunternehmen GmbH
VV,Aerosvit Ukranian Airlines
VW,Transportes Aeromar S.A de C.V
W3,Arik Air International
W8,Cargojet Airways Ltd.
WAP,Arrow Panama
WEQ,Aero-Services-Corporate
WFL,World2Fly SLU
WG,Sunwing Airlines Inc.
WGT,Volkswagen AirSevice GmbH dba Volkswagon
WI,Sky Lease Cargo
WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines"
WN,Southwest Airlines Co.
WO,SWOOP Inc.
WPT,World2Fly Portugal SA
WR,WestJet Encore Ltd.
WRD,Ward Air
WS,Westjet
WST,Friday Harbor Seaplanes
WW,WOW Air ehf
X4,Air Excursions LLC
X6,"Challenge Air Cargo, Ltd"
X7,Challenge Airlines (BE) S.A.
X9,Omni Air International LLC
XL,Lan Ecuador
XP,TEM Enterprises dba  Avelo Airlines
Y2,Globespan Airways Limited d/b/a Flyglobespan
Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)
Y7,Flyjet Limited d/b/a Silverjet
Y8,Yangtze River Express Airlines Company
Y9,1263343 Alberta Inc. d/b/a Lynx Air
YB,"HARBOUR AIR LTD. D/B/A HARBOUR AIR SEAPLANES, WHISTLER AIR AND SALTSPRING AIR"
YR,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines"
YV,Mesa Airlines Inc.
YX,Republic Airline
Z0,Norse Atlantic UK Ltd
Z3,"Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service"
Z3Q,"PM Air, LLC"
ZB,Monarch Airlines
ZE,Eastar Jet Co Ltd.
ZF,AZUR Air LLC
ZG,ZIPAIR Tokyo Inc.
ZK,Great Lakes Airlines
ZPQ,"Silk Way Airlines, LLC"
ZW,Air Wisconsin Airlines Corp
ZX,Air Georgian
